Ensembl Gene ID	Associated Gene Name	Description
ENSDARG00000100961	zgc:174648	zgc:174648 [Source:ZFIN;Acc:ZDB-GENE-080218-4]
ENSDARG00000094160	DLEU7	deleted in lymphocytic leukemia, 7 [Source:HGNC Symbol;Acc:HGNC:17567]
ENSDARG00000105257	U1	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
ENSDARG00000059858	pappab	pregnancy-associated plasma protein A, pappalysin 1b [Source:ZFIN;Acc:ZDB-GENE-060526-71]
ENSDARG00000078657	C22H1orf233	chromosome 1 open reading frame 233 [Source:HGNC Symbol;Acc:HGNC:42951]
ENSDARG00000089555	dre-mir-430a-4	dre-mir-430a-4 [Source:miRBase;Acc:MI0002113]
ENSDARG00000045957	gpr65	G protein-coupled receptor 65 [Source:ZFIN;Acc:ZDB-GENE-120709-81]
ENSDARG00000104694	DUPD1 (11 of 11)	dual specificity phosphatase and pro isomerase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23481]
ENSDARG00000105265	zgc:171534	zgc:171534 [Source:ZFIN;Acc:ZDB-GENE-080218-6]
ENSDARG00000060392	ash2l	ash2 (absent, small, or homeotic)-like (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-030131-494]
ENSDARG00000104196	NR4A2 (3 of 3)	nuclear receptor subfamily 4, group A, member 2 [Source:HGNC Symbol;Acc:HGNC:7981]
ENSDARG00000103035	CABZ01057358.3	
ENSDARG00000070581	ggact.1	gamma-glutamylamine cyclotransferase, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-061103-94]
ENSDARG00000090868	U1	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
ENSDARG00000093040	si:ch211-89b14.1	si:ch211-89b14.1 [Source:ZFIN;Acc:ZDB-GENE-070912-327]
ENSDARG00000076998	si:ch73-92i20.1	si:ch73-92i20.1 [Source:ZFIN;Acc:ZDB-GENE-070705-270]
ENSDARG00000098194	SLC39A11	solute carrier family 39, member 11 [Source:HGNC Symbol;Acc:HGNC:14463]
ENSDARG00000098128	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000103225	UBLCP1 (2 of 2)	ubiquitin-like domain containing CTD phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:28110]
ENSDARG00000102457	BX539341.1	
ENSDARG00000101157	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000103075	CU457819.5	
ENSDARG00000063258	rfx5	regulatory factor X, 5 [Source:ZFIN;Acc:ZDB-GENE-070717-3]
ENSDARG00000098329	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000036913	st6galnac6	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6 [Source:ZFIN;Acc:ZDB-GENE-060322-7]
ENSDARG00000090072	KRTCAP3	keratinocyte associated protein 3 [Source:HGNC Symbol;Acc:HGNC:28943]
ENSDARG00000101061	eif2a	eukaryotic translation initiation factor 2A [Source:ZFIN;Acc:ZDB-GENE-050626-52]
ENSDARG00000090052	BX470211.1	
ENSDARG00000031216	ssu72	SSU72 RNA polymerase II CTD phosphatase homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-040426-1689]
ENSDARG00000070898	si:ch211-262h13.3	si:ch211-262h13.3 [Source:ZFIN;Acc:ZDB-GENE-050208-532]
ENSDARG00000101544	BX004873.5	
ENSDARG00000088956	CNTD1	cyclin N-terminal domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26847]
ENSDARG00000098351	si:ch211-66c13.1	si:ch211-66c13.1 [Source:ZFIN;Acc:ZDB-GENE-081103-50]
ENSDARG00000060109	aggf1	angiogenic factor with G patch and FHA domains 1 [Source:ZFIN;Acc:ZDB-GENE-060929-836]
ENSDARG00000080109	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000094943	si:ch211-161c21.2	si:ch211-161c21.2 [Source:ZFIN;Acc:ZDB-GENE-090313-54]
ENSDARG00000025046	AL935186.1	
ENSDARG00000079575	aff3	AF4/FMR2 family, member 3 [Source:ZFIN;Acc:ZDB-GENE-030219-193]
ENSDARG00000058775	SLC22A3	solute carrier family 22 (organic cation transporter), member 3 [Source:HGNC Symbol;Acc:HGNC:10967]
ENSDARG00000069276	pimr132	Pim proto-oncogene, serine/threonine kinase, related 132 [Source:ZFIN;Acc:ZDB-GENE-041014-157]
ENSDARG00000034777	txn2	thioredoxin 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1795]
ENSDARG00000095011	si:ch211-67n3.9	si:ch211-67n3.9 [Source:ZFIN;Acc:ZDB-GENE-060526-179]
ENSDARG00000088770	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000103879	CR450785.2	
ENSDARG00000098365	lrrc74b	leucine rich repeat containing 74B [Source:ZFIN;Acc:ZDB-GENE-141212-96]
ENSDARG00000069941	TDP2 (2 of 2)	tyrosyl-DNA phosphodiesterase 2 [Source:HGNC Symbol;Acc:HGNC:17768]
ENSDARG00000102539	mkxb	mohawk homeobox b [Source:ZFIN;Acc:ZDB-GENE-080513-2]
ENSDARG00000057007	ctbp1	C-terminal binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-010130-1]
ENSDARG00000012945	tnfsf13b	tumor necrosis factor (ligand) superfamily, member 13b [Source:ZFIN;Acc:ZDB-GENE-080204-44]
ENSDARG00000104060	U1	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
ENSDARG00000031426	csrnp1a	cysteine-serine-rich nuclear protein 1a [Source:ZFIN;Acc:ZDB-GENE-070912-475]
ENSDARG00000103086	BX901974.2	
ENSDARG00000102376	cacng2b	calcium channel, voltage-dependent, gamma subunit 2b [Source:ZFIN;Acc:ZDB-GENE-090624-3]
ENSDARG00000100351	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000026723	syncripl	synaptotagmin binding, cytoplasmic RNA interacting protein, like [Source:ZFIN;Acc:ZDB-GENE-030131-3104]
ENSDARG00000103144	ppp1r21	protein phosphatase 1, regulatory subunit 21 [Source:ZFIN;Acc:ZDB-GENE-041114-8]
ENSDARG00000103312	CU469384.1	
ENSDARG00000102971	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000098512	si:ch73-215f7.1	si:ch73-215f7.1 [Source:ZFIN;Acc:ZDB-GENE-141216-478]
ENSDARG00000040632	v2rx1	vomeronasal 2 receptor, x1 [Source:ZFIN;Acc:ZDB-GENE-050419-175]
ENSDARG00000090739	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000101149	CABZ01001464.1	
ENSDARG00000075915	si:ch73-70k4.1	si:ch73-70k4.1 [Source:ZFIN;Acc:ZDB-GENE-030131-3788]
ENSDARG00000090532	znf974	zinc finger protein 974 [Source:ZFIN;Acc:ZDB-GENE-131119-54]
ENSDARG00000103794	U1	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
ENSDARG00000098229	U1	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
ENSDARG00000101476	si:dkey-65j4.2	si:dkey-65j4.2 [Source:ZFIN;Acc:ZDB-GENE-141219-43]
ENSDARG00000062621	SATB1	SATB homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10541]
ENSDARG00000089888	daglb	diacylglycerol lipase, beta [Source:ZFIN;Acc:ZDB-GENE-070619-2]
ENSDARG00000092078	si:ch211-267e7.22	si:ch211-267e7.22 [Source:ZFIN;Acc:ZDB-GENE-070912-264]
ENSDARG00000061752	fam65b	family with sequence similarity 65, member B [Source:ZFIN;Acc:ZDB-GENE-060503-342]
ENSDARG00000080979	U1	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
ENSDARG00000035990	cited4a	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4a [Source:ZFIN;Acc:ZDB-GENE-030131-7661]
ENSDARG00000095193	TNFRSF14 (8 of 8)	tumor necrosis factor receptor superfamily, member 14 [Source:HGNC Symbol;Acc:HGNC:11912]
ENSDARG00000098555	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000089704	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000102268	si:ch211-79g12.1	si:ch211-79g12.1 [Source:ZFIN;Acc:ZDB-GENE-110914-69]
ENSDARG00000088616	si:ch211-197e7.3	si:ch211-197e7.3 [Source:ZFIN;Acc:ZDB-GENE-131122-50]
ENSDARG00000102507	BX276122.7	
ENSDARG00000103204	CT583728.4	
ENSDARG00000094824	si:dkey-23a23.1	si:dkey-23a23.1 [Source:ZFIN;Acc:ZDB-GENE-060503-65]
ENSDARG00000075629	IFI30 (2 of 2)	interferon, gamma-inducible protein 30 [Source:HGNC Symbol;Acc:HGNC:5398]
ENSDARG00000008660	coro1b	coronin, actin binding protein, 1B [Source:ZFIN;Acc:ZDB-GENE-040123-3]
ENSDARG00000095123	si:ch211-45l19.2	si:ch211-45l19.2 [Source:ZFIN;Acc:ZDB-GENE-091204-244]
ENSDARG00000034534	atp6v1aa	ATPase, H+ transporting, lysosomal, V1 subunit Aa [Source:ZFIN;Acc:ZDB-GENE-040426-1143]
ENSDARG00000097900	aff3	
ENSDARG00000074403	PEX5L (2 of 2)	peroxisomal biogenesis factor 5-like [Source:HGNC Symbol;Acc:HGNC:30024]
ENSDARG00000089826	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000074262	nck1a	NCK adaptor protein 1a [Source:ZFIN;Acc:ZDB-GENE-070912-547]
ENSDARG00000103036	CABZ01032351.2	
ENSDARG00000093236	BX640461.1	
ENSDARG00000087738	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000096601	FAM13C	family with sequence similarity 13, member C [Source:HGNC Symbol;Acc:HGNC:19371]
ENSDARG00000100810	CABZ01076758.1	
ENSDARG00000036675	hnrnpa1b	heterogeneous nuclear ribonucleoprotein A1b [Source:ZFIN;Acc:ZDB-GENE-030912-14]
ENSDARG00000100869	adcy9	adenylate cyclase 9 [Source:ZFIN;Acc:ZDB-GENE-050208-455]
ENSDARG00000079824	ninj2	ninjurin 2 [Source:ZFIN;Acc:ZDB-GENE-100422-19]
ENSDARG00000056387	rnf17	ring finger protein 17 [Source:ZFIN;Acc:ZDB-GENE-030131-6451]
ENSDARG00000101801	U1	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
ENSDARG00000105127	si:ch211-155e24.3	si:ch211-155e24.3 [Source:ZFIN;Acc:ZDB-GENE-070912-116]
ENSDARG00000004561	prkcg	protein kinase C, gamma [Source:ZFIN;Acc:ZDB-GENE-090206-1]
ENSDARG00000101388	si:ch211-171l17.14	si:ch211-171l17.14 [Source:ZFIN;Acc:ZDB-GENE-070912-153]
ENSDARG00000088000	znf1057	zinc finger protein 1057 [Source:ZFIN;Acc:ZDB-GENE-131120-158]
ENSDARG00000092381	TNFRSF14 (6 of 8)	tumor necrosis factor receptor superfamily, member 14 [Source:HGNC Symbol;Acc:HGNC:11912]
ENSDARG00000082090	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000098372	CABZ01029904.1	
ENSDARG00000101053	CABZ01112647.1	
ENSDARG00000016200	trib3	tribbles pseudokinase 3 [Source:ZFIN;Acc:ZDB-GENE-040426-2609]
ENSDARG00000036571	sema3e	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E [Source:ZFIN;Acc:ZDB-GENE-030131-7864]
ENSDARG00000098778	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000076824	CCKBR (2 of 2)	cholecystokinin B receptor [Source:HGNC Symbol;Acc:HGNC:1571]
ENSDARG00000033126	prkrip1	PRKR interacting protein 1 (IL11 inducible) [Source:ZFIN;Acc:ZDB-GENE-111011-2]
ENSDARG00000098341	BX855613.1	
ENSDARG00000078745	pnpla8	patatin-like phospholipase domain containing 8 [Source:ZFIN;Acc:ZDB-GENE-070705-553]
ENSDARG00000098947	U1	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
ENSDARG00000100389	nitr11a	novel immune-type receptor 11a [Source:EntrezGene;Acc:558243]
ENSDARG00000011862	inaa	internexin neuronal intermediate filament protein, alpha a [Source:ZFIN;Acc:ZDB-GENE-060531-65]
ENSDARG00000101004	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000042508	ubr3	ubiquitin protein ligase E3 component n-recognin 3 [Source:ZFIN;Acc:ZDB-GENE-030131-1473]
ENSDARG00000079605	prmt5	protein arginine methyltransferase 5 [Source:ZFIN;Acc:ZDB-GENE-030616-585]
ENSDARG00000102944	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000062137	stag1b	stromal antigen 1b [Source:ZFIN;Acc:ZDB-GENE-030131-1393]
ENSDARG00000007207	cnpy2	canopy 2 [Source:ZFIN;Acc:ZDB-GENE-060315-4]
ENSDARG00000016775	aqr	aquarius intron-binding spliceosomal factor [Source:ZFIN;Acc:ZDB-GENE-040426-1189]
ENSDARG00000076330	dusp12	dual specificity phosphatase 12 [Source:ZFIN;Acc:ZDB-GENE-050626-91]
ENSDARG00000020354	lmx1a	LIM homeobox transcription factor 1, alpha [Source:ZFIN;Acc:ZDB-GENE-041014-332]
ENSDARG00000088265	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000097059	si:dkey-159n16.4	si:dkey-159n16.4 [Source:ZFIN;Acc:ZDB-GENE-131120-58]
ENSDARG00000104171	BX005268.1	
ENSDARG00000099429	mrps15	mitochondrial ribosomal protein S15 [Source:ZFIN;Acc:ZDB-GENE-040718-188]
ENSDARG00000100168	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000059391	gyg1b	glycogenin 1b [Source:ZFIN;Acc:ZDB-GENE-040625-30]
ENSDARG00000037079	cfap36	cilia and flagella associated protein 36 [Source:ZFIN;Acc:ZDB-GENE-060421-8162]
ENSDARG00000090293	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000088067	pimr187	Pim proto-oncogene, serine/threonine kinase, related 187 [Source:ZFIN;Acc:ZDB-GENE-081104-161]
ENSDARG00000079473	si:ch211-120p12.3	si:ch211-120p12.3 [Source:ZFIN;Acc:ZDB-GENE-090312-24]
ENSDARG00000062906	kcnv2b	potassium channel, subfamily V, member 2b [Source:ZFIN;Acc:ZDB-GENE-060526-28]
ENSDARG00000104421	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000091154	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000094546	si:ch211-132b12.6	si:ch211-132b12.6 [Source:ZFIN;Acc:ZDB-GENE-050420-179]
ENSDARG00000104047	si:ch211-262i1.3	si:ch211-262i1.3 [Source:ZFIN;Acc:ZDB-GENE-141222-7]
ENSDARG00000104713	zgc:165653	zgc:165653 [Source:ZFIN;Acc:ZDB-GENE-070620-24]
ENSDARG00000055446	BX004983.1	
ENSDARG00000071656	si:dkey-19a16.5	si:dkey-19a16.5 [Source:ZFIN;Acc:ZDB-GENE-050208-733]
ENSDARG00000105299	CU469544.2	
ENSDARG00000073665	rasa1b	RAS p21 protein activator (GTPase activating protein) 1b [Source:ZFIN;Acc:ZDB-GENE-090311-50]
ENSDARG00000042526	sebox	SEBOX homeobox [Source:ZFIN;Acc:ZDB-GENE-021206-4]
ENSDARG00000030598	nampta	nicotinamide phosphoribosyltransferase a [Source:ZFIN;Acc:ZDB-GENE-110420-1]
ENSDARG00000092252	si:dkey-103k4.1	si:dkey-103k4.1 [Source:ZFIN;Acc:ZDB-GENE-060125-3]
ENSDARG00000079881	TCAIM	T cell activation inhibitor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:25241]
ENSDARG00000089234	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000021582	dynlrb1	dynein, light chain, roadblock-type 1 [Source:ZFIN;Acc:ZDB-GENE-040426-989]
ENSDARG00000103080	U1	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
ENSDARG00000101426	CABZ01017733.1	
ENSDARG00000095734	pimr186	Pim proto-oncogene, serine/threonine kinase, related 186 [Source:ZFIN;Acc:ZDB-GENE-081104-162]
ENSDARG00000101376	U1	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
ENSDARG00000078876	crygm2b	crystallin, gamma M2b [Source:ZFIN;Acc:ZDB-GENE-050516-10]
ENSDARG00000098467	si:dkey-206l1.3	si:dkey-206l1.3 [Source:ZFIN;Acc:ZDB-GENE-030925-9]
ENSDARG00000098872	BX649453.1	
ENSDARG00000103757	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000094165	si:ch211-261n9.2	si:ch211-261n9.2 [Source:ZFIN;Acc:ZDB-GENE-100513-2]
ENSDARG00000045940	lsm12b	LSM12 homolog b [Source:ZFIN;Acc:ZDB-GENE-040426-2164]
ENSDARG00000076005	piezo2a.2	piezo-type mechanosensitive ion channel component 2a, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-131119-76]
ENSDARG00000101468	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000100176	si:dkey-206l1.2	si:dkey-206l1.2 [Source:ZFIN;Acc:ZDB-GENE-050208-775]
ENSDARG00000043798	ms4a17a.1	membrane-spanning 4-domains, subfamily A, member 17A.1 [Source:ZFIN;Acc:ZDB-GENE-050417-307]
ENSDARG00000104102	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000098690	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000105160	BX927098.1	
ENSDARG00000083126	dre-mir-96	dre-mir-96 [Source:miRBase;Acc:MI0001955]
ENSDARG00000076040	arl15a	ADP-ribosylation factor-like 15a [Source:ZFIN;Acc:ZDB-GENE-070209-3]
ENSDARG00000100542	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000105076	U1	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
ENSDARG00000091788	NPFFR1	neuropeptide FF receptor 1 [Source:HGNC Symbol;Acc:HGNC:17425]
ENSDARG00000101144	zdhhc13	zinc finger, DHHC-type containing 13 [Source:ZFIN;Acc:ZDB-GENE-041212-79]
ENSDARG00000102137	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000027310	lsp1	lymphocyte-specific protein 1 [Source:ZFIN;Acc:ZDB-GENE-131127-171]
ENSDARG00000076638	MEX3A	mex-3 RNA binding family member A [Source:HGNC Symbol;Acc:HGNC:33482]
ENSDARG00000060877	edil3b	EGF-like repeats and discoidin I-like domains 3b [Source:ZFIN;Acc:ZDB-GENE-090312-42]
ENSDARG00000071024	zgc:171679	zgc:171679 [Source:ZFIN;Acc:ZDB-GENE-071004-95]
ENSDARG00000086163	CR931792.1	
ENSDARG00000095920	si:ch211-132p20.5	si:ch211-132p20.5 [Source:ZFIN;Acc:ZDB-GENE-110411-65]
ENSDARG00000063321	rabl2	RAB, member of RAS oncogene family-like 2 [Source:ZFIN;Acc:ZDB-GENE-060503-464]
ENSDARG00000006848	PARP9	poly (ADP-ribose) polymerase family, member 9 [Source:HGNC Symbol;Acc:HGNC:24118]
ENSDARG00000082587	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000076259	tbr1a	T-box, brain, 1a [Source:ZFIN;Acc:ZDB-GENE-060810-93]
ENSDARG00000104443	SLITRK1	SLIT and NTRK-like family, member 1 [Source:HGNC Symbol;Acc:HGNC:20297]
ENSDARG00000027658	irf10	interferon regulatory factor 10 [Source:ZFIN;Acc:ZDB-GENE-040426-2084]
ENSDARG00000071407	si:ch211-195m9.2	si:ch211-195m9.2 [Source:ZFIN;Acc:ZDB-GENE-120215-107]
ENSDARG00000081997	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000083158	snoU54	Small nucleolar RNA U54 [Source:RFAM;Acc:RF01277]
ENSDARG00000094871	si:ch211-261n9.3	si:ch211-261n9.3 [Source:ZFIN;Acc:ZDB-GENE-100922-210]
ENSDARG00000044457	gfi1ab	growth factor independent 1A transcription repressor b [Source:ZFIN;Acc:ZDB-GENE-040116-8]
ENSDARG00000009870	mapk8b	mitogen-activated protein kinase 8b [Source:ZFIN;Acc:ZDB-GENE-010202-1]
ENSDARG00000075375	zgc:171501	zgc:171501 [Source:ZFIN;Acc:ZDB-GENE-080204-10]
ENSDARG00000068280	GRB14	growth factor receptor-bound protein 14 [Source:HGNC Symbol;Acc:HGNC:4565]
ENSDARG00000059738	ptprsa	protein tyrosine phosphatase, receptor type, s, a [Source:ZFIN;Acc:ZDB-GENE-020107-3]
ENSDARG00000083238	5S_rRNA	5S ribosomal RNA [Source:RFAM;Acc:RF00001]
ENSDARG00000092950	si:dkey-7a20.9	si:dkey-7a20.9 [Source:ZFIN;Acc:ZDB-GENE-090313-340]
ENSDARG00000081214	U2	U2 spliceosomal RNA [Source:RFAM;Acc:RF00004]
ENSDARG00000086193	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000098134	CABZ01111946.1	
ENSDARG00000098251	U1	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
ENSDARG00000100628	CABZ01062995.1	
ENSDARG00000056829	CR559945.1	
ENSDARG00000103823	RBMS1 (2 of 2)	RNA binding motif, single stranded interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:9907]
ENSDARG00000028780	gzma	granzyme A [Source:ZFIN;Acc:ZDB-GENE-091204-156]
ENSDARG00000078267	si:dkey-181m9.8	si:dkey-181m9.8 [Source:ZFIN;Acc:ZDB-GENE-070912-399]
ENSDARG00000038981	zgc:153615	zgc:153615 [Source:ZFIN;Acc:ZDB-GENE-061110-79]
ENSDARG00000040255	ephx2	epoxide hydrolase 2, cytoplasmic [Source:ZFIN;Acc:ZDB-GENE-041212-70]
ENSDARG00000097491	ugt1b1	UDP glucuronosyltransferase 1 family, polypeptide B1 [Source:ZFIN;Acc:ZDB-GENE-080227-10]
ENSDARG00000098069	BX537162.1	
ENSDARG00000045485	rassf8b	Ras association (RalGDS/AF-6) domain family (N-terminal) member 8b [Source:ZFIN;Acc:ZDB-GENE-040426-1338]
ENSDARG00000042391	odf3b	outer dense fiber of sperm tails 3B [Source:ZFIN;Acc:ZDB-GENE-030131-7464]
ENSDARG00000098421	U6	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]
ENSDARG00000032458	mark2b	MAP/microtubule affinity-regulating kinase 2b [Source:ZFIN;Acc:ZDB-GENE-080215-4]
ENSDARG00000038473	ube2d3	ubiquitin-conjugating enzyme E2D 3 [Source:ZFIN;Acc:ZDB-GENE-030131-551]
ENSDARG00000092315	si:dkeyp-15f12.4	si:dkeyp-15f12.4 [Source:ZFIN;Acc:ZDB-GENE-060526-367]
ENSDARG00000104821	CABZ01019032.2	
ENSDARG00000016611	scrn3	secernin 3 [Source:ZFIN;Acc:ZDB-GENE-030131-4783]
ENSDARG00000068969	TNFRSF14 (2 of 8)	tumor necrosis factor receptor superfamily, member 14 [Source:HGNC Symbol;Acc:HGNC:11912]
ENSDARG00000104044	dre-mir-430a-11	dre-mir-430a-11 [Source:miRBase;Acc:MI0002120]
ENSDARG00000095788	ghrhrl	growth hormone releasing hormone receptor, like [Source:ZFIN;Acc:ZDB-GENE-090211-1]
ENSDARG00000027491	uros	uroporphyrinogen III synthase [Source:ZFIN;Acc:ZDB-GENE-040323-2]
ENSDARG00000099910	si:ch211-208f21.3	si:ch211-208f21.3 [Source:ZFIN;Acc:ZDB-GENE-110913-7]
ENSDARG00000016427	fignl1	fidgetin-like 1 [Source:ZFIN;Acc:ZDB-GENE-030131-1862]
ENSDARG00000009484	arf1	ADP-ribosylation factor 1 [Source:ZFIN;Acc:ZDB-GENE-010724-5]
ENSDARG00000018061	neil1	nei-like DNA glycosylase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-994]
ENSDARG00000087927	nudt9	nudix (nucleoside diphosphate linked moiety X)-type motif 9 [Source:ZFIN;Acc:ZDB-GENE-040426-2669]
ENSDARG00000100733	U1	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]
ENSDARG00000104753	CU929345.1	
